Street #,Street,Street Type,Quad,Ward,SSL1,SSL2,SSLFULL,GGStatus
107,KENNEDY ,ST ,NW ,4,3390,804,3390    0804,5
116,KENNEDY ,ST ,NW ,4,3391,17,3391    0017,5
521,KENNEDY ,ST ,NW ,4,3207,27,3207    0027,5
818,KENNEDY ,ST ,NW ,4,2994,47,2994    0047,5
618,KENSINGTON ,PL ,NE ,4,3740,30,3740    0030,5
26,LONGFELLOW ,ST ,NE ,4,3708,90,3708    0090,5
133,LONGFELLOW ,ST ,NW ,4,3387,89,3387    0089,5
700,LONGFELLOW ,ST ,NW ,4,3153,29,3153    0029,5
706,LONGFELLOW ,ST ,NW ,4,3153,61,3153    0061,5
809,LONGFELLOW ,ST ,NW ,4,2990,21,2990    0021,5
920,LONGFELLOW ,ST ,NW ,4,2992,824,2992    0824,5
22,MADISON ,ST ,NW ,4,3388,103,3388    0103,5
714,MADISON ,ST ,NW ,4,3154,814,3154    0814,5
914,MADISON ,ST ,NW ,4,2991,67,2991    0067,5
930,MADISON ,ST ,NW ,4,2991,803,2991    0803,5
6949,MAPLE ,ST ,NW ,4,3357,811,3357    0811,5
3012,MILITARY ,RD ,NW ,4,2287,815,2287    0815,5
3205,MORRISON ,ST ,NW ,4,2023,34,2023    0034,5
3709,NEW HAMPSHIRE ,AVE ,NW ,4,3030,805,3030    0805,5
4903,NEW HAMPSHIRE ,AVE ,NW ,4,3402,22,3402    0022,5
4903,NEW HAMPSHIRE ,AVE ,NW ,4,3402,22,3402    0022,5
5500,NEW HAMPSHIRE ,AVE ,NW ,4,3389,823,3389    0823,5
5517,NEW HAMPSHIRE ,AVE ,NE ,4,3707,96,3707    0096,5
8,NICHOLSON ,ST ,NW ,4,3384,828,3384    0828,5
45,NICHOLSON ,ST ,NW ,4,3383,826,3383    0826,5
309,NICHOLSON ,ST ,NE ,4,3713,42,3713    0042,5
608,NICHOLSON ,ST ,NW ,4,3204,805,3204    0805,5
737,NICHOLSON ,ST ,NE ,4,3742,87,3742    0087,5
2612,NORTHAMPTON ,ST ,NW ,4,2307,27,2307    0027,5
221,OGLETHORPE ,ST ,NE ,4,3710,163,3710    0163,5
835,OGLETHORPE ,ST ,NE ,4,3744,84,3744    0084,5
229,ONEIDA ,ST ,NE ,4,3714,45,3714    0045,5
3011,OREGON KNOLLS ,DR ,NW ,4,2358,811,2358    0811,5
6713,PINEY BRANCH ,RD ,NW ,4,3167,65,3167    0065,5
419,Quackenbos ,ST ,NW ,""" ",3267 0054,,3267    0054,5
429,Quackenbos ,ST ,NW ,""" ",3267 0092,,3267    0092,5
1907,QUINCY ,ST ,NW ,4,2630,813,2630    0813,5
411,RANDOLPH ,ST ,NW ,4,3237,82,3237    0082,5
415,RANDOLPH ,ST ,NW ,4,3237,802,3237    0802,5
400,RIGGS ,RD ,NE ,4,3739,49,3739    0049,5
